case_slug,slice,input_name,input_domain,linkedin_url
ww_a0164cbfe882aa11e433a6b503cb62db,stable_large,Tan Tock Seng Hospital,ttsh.com.sg,https://www.linkedin.com/company/tan-tock-seng-hospital
ww_a17c66baf7ecfb46712b81a5d64dcf21,long_tail,Waterfront Group,waterfrontgrp.com,https://www.linkedin.com/company/waterfront-group
ww_a2a4a17454594bc08900365095fee3f2,stable_large,Meduca,meduca.cl,https://www.linkedin.com/company/meducachile
ww_a3ac404d23f05f13c5ccf04b14cfd4c2,subsidiary,Bytespath Global,bytespath.in,https://www.linkedin.com/company/bytespathglobal
ww_a42fbf9ed83f4dffaa4fa637c129e5e6,stable_large,Accounting & Finance Professionals,afprofessionals.com,https://www.linkedin.com/company/accounting-&-finance-professionals
ww_a4637ab273ac085c46a22f43cd9ece49,subsidiary,Digital Boost,digitalboost.org.uk,https://www.linkedin.com/company/digitalboost-org
ww_a49ff3e5cd3fb3d269b6edf8ccbca025,stable_large,Corporativo Overall,corporativooverall.com,https://www.linkedin.com/company/corporativo-overall
ww_a4b2a31e88e20111647133531938e993,long_tail,GHIA,ghia.com.mx,https://www.linkedin.com/company/ghia
ww_a723cdefc158eb32951f62beb287c4a6,subsidiary,Turner,turner.co.uk,https://www.linkedin.com/company/turner-&-co.-glasgow-limited.
ww_aa0afb1587aba489809274cb1d871666,long_tail,Maven,maven.co.nz,https://www.linkedin.com/company/maven-nz
ww_ae0b54daa2fb7633bf6349d1c642c328,stable_large,GEA,gea.it,https://www.linkedin.com/company/gea
ww_aea621c01e95cab0540d279d531bfff6,subsidiary,Youtap Indonesia,youtap.id,https://www.linkedin.com/company/youtap-indonesia
ww_aeb628bde170cc23573f0b2c50674e20,stable_large,Kawartha Pine Ridge District School Board,kprschools.ca,https://www.linkedin.com/company/kprdsb
ww_af10494427daf1cafadafb321c609911,subsidiary,Sports 1 Marketing,sports1marketing.com,https://www.linkedin.com/company/sports-1-marketing
ww_b04ccd57418c722ce17c92fd94e4e3a6,subsidiary,Nottingham Trent University,ntu.ac.uk,https://www.linkedin.com/school/nottingham-trent-university
ww_b0b907f3fa87e4c84830d96b5a49c055,stable_large,Focus Professional Russia,focusprofessional.ru,https://www.linkedin.com/company/focusprofessionalrussia
ww_b1e076df6775a6ed193f2563e8461655,long_tail,CINNCO,cinnco.co,https://www.linkedin.com/company/cinnco
ww_b4bfc4ebea88244c44ac63822b8907cb,subsidiary,ShamsValley,shamsvalley.com,https://www.linkedin.com/company/shamsvalley
ww_b5863195c72bfc4f244fead4fd93bfdf,subsidiary,REDA Chemicals,redachem.com,https://www.linkedin.com/company/redachem
ww_b58e9bbab88649a6144887d5ad155aa3,long_tail,TRANSMI EIRL,transmieirl.com.pe,https://www.linkedin.com/company/transmi-eirl
ww_b5f826c8c39505be6b882245d2683b56,stable_large,Blender,blender.org,https://www.linkedin.com/company/blender-org
ww_b861a9831c5104c06e9975c7e7aa877b,long_tail,BEZIERS HAD,beziers-had.fr,https://www.linkedin.com/company/beziers-had
ww_b9281cd9078ff2d736f7ab5188b3fde0,stable_large,Bam,bam.com.gt,https://www.linkedin.com/company/bam-gt
ww_ba078849b941510b0b6b20916df99738,subsidiary,Nasdaq Entrepreneurial Center,nasdaqcenter.org,https://www.linkedin.com/company/nasdaq-entrepreneurial-center
ww_ba4e2de519d7413925e8b8199cdcdd6a,long_tail,Lake Mohawk Country Club,lakemohawkcc.com,https://www.linkedin.com/company/lake-mohawk-country-club
ww_bbb6aa241d0eb3909b841880fbdce620,subsidiary,The Betts Group,bettsmetals.com,https://www.linkedin.com/company/thebettsgroup
ww_bc20331fd4628403d6db6d5700f58717,long_tail,Primio,primio.app,https://www.linkedin.com/company/primio-app
ww_bc309d75070be5d97724e8f9afa119d9,subsidiary,Envelopes.com,envelopes.com,https://www.linkedin.com/company/envelopes-com
ww_bc95108e4789e4b7e6f01e473027c976,long_tail,Cincinnati College Preparatory Academy,ccpalions.org,https://www.linkedin.com/school/ccpalionpride
ww_bca426ed7f6f2c51ba05caf7ed8ef22b,long_tail,Harvest International Schools TR,harvestschools.org,https://www.linkedin.com/company/harvestschoolstr
ww_bcdf6c502c01bd67e77d00f36b35b56f,stable_large,Forbes Marshall,forbesmarshall.com,https://www.linkedin.com/company/forbesmarshall
ww_bd36a6ad298702c9f911f78163dadd5d,stable_large,Jan De Nul Group,jandenul.com,https://www.linkedin.com/company/jan-de-nul
ww_bd7c09bbbd67e93511c55cece0bcd3ab,stable_large,Progressive,progressiverecruitment.com,https://www.linkedin.com/company/progressive-recruitment
ww_bf734e15bc860a6d25257c4aef8f593e,long_tail,PJM Investment Akademie GmbH,pjmueller.de,https://www.linkedin.com/school/pjm-investment-akademie-gmbh
ww_c1dad158473d599736ffe74624b615b1,stable_large,Korean Air,koreanair.com,https://www.linkedin.com/company/korean-air
ww_c30ef2e7822e8d57238813025b1431d4,long_tail,Researchers.me,researchers.me,https://www.linkedin.com/company/researchers-me
ww_c31fd6f286852be0f2a56aa0f7013105,stable_large,Lifetouch,lifetouch.com,https://www.linkedin.com/company/lifetouch
ww_c39080d5290573c0da8e39b6f65e4362,long_tail,Mad Squirrel Brewery,madsquirrelbrew.co.uk,https://www.linkedin.com/company/mad-squirrel
ww_c408b5d5ce9d86f6de26964da05749a6,stable_large,Mobile County Public School System,mcpss.com,https://www.linkedin.com/company/mobile-county-public-school-system
ww_c577c99f4d3fe0ba8f94844d3c7d588e,stable_large,Marfrig Global Foods,marfrig.com.br,https://www.linkedin.com/company/marfrig-global-foods
ww_c6cdf76db74acb676e2f4a320fe0a93f,long_tail,GiddyUp,giddyup.io,https://www.linkedin.com/company/the-giddyup-group
ww_c6dc59e0e8300a4b3b3b3ff329fb1868,stable_large,Damart,damart.fr,https://www.linkedin.com/company/damart
ww_c7d3dc1c0ef1dd2969fa1b4c9648b85d,stable_large,Ministère de la Défense,defense.gouv.fr,https://www.linkedin.com/company/ministere-des-armees
ww_cc1f23b2865a2d0fee80c33356daa76d,subsidiary,Randstad Innovation Fund,randstadinnovationfund.com,https://www.linkedin.com/company/randstad-innovation-fund
ww_cc3afd22f247d4e73591f9b628bd13df,long_tail,De Haagse Tandarts,dehaagsetandarts.nl,https://www.linkedin.com/company/de-haagse-tandarts
ww_cd3d95b5e8f83320f010930265f8d5ca,stable_large,Radio France Internationale,rfi.fr,https://www.linkedin.com/company/radio-france-internationale
ww_cd79759627eeb41ec0aa7f5ec9a3898f,subsidiary,Caesar,caesar.team,https://www.linkedin.com/company/caesar-app
ww_ce7831a074404d86972c595baeedfeee,long_tail,ZİM Engineering,zim.com.tr,https://www.linkedin.com/company/zimmuhendislik
ww_cf79ae6addba60ad018347359bd144d2,subsidiary,LähiTapiola,lahitapiola.fi,https://www.linkedin.com/company/l-hitapiola
ww_d027519051ee6d8cad6e48dace66bc2d,stable_large,Terumo Neuro,terumoneuro.com,https://www.linkedin.com/company/terumoneuro
ww_d06fae2f57f107089318b5bab330e172,stable_large,Einzelhandel,benatilla.com,https://www.linkedin.com/company/einzelhandel
ww_d0781cdd2edefab8811b6f1f7d570e42,long_tail,Sirva,sirva.com,https://www.linkedin.com/company/sirva
ww_d09c9e5eab0a61687ff48f362a241f86,stable_large,Xpressbees (BusyBees Logistics Solutions Pvt. Ltd.),xpressbees.com,https://www.linkedin.com/company/xpressbees
ww_d18f32c3cddc78ccc40d534f10e48f29,subsidiary,Ari10,ari10.com,https://www.linkedin.com/company/ari10-com
ww_d1a8c81d5bcbe531d2baa1ebfeecf52b,stable_large,Banco Mercantil Santa Cruz S.A.,bmsc.com.bo,https://www.linkedin.com/company/bancomercantilsantacruz
ww_d40f9e1e33b9a9ab05d6b941af5a6f63,long_tail,Blast Security,blast.security,https://www.linkedin.com/company/blast-security
ww_d4a93297083a23cc099f7bd6a8621131,stable_large,Danish Technological Institute,teknologisk.dk,https://www.linkedin.com/company/teknologiskinstitut
ww_d63fbf8c3173730f82b150c5ef38b8ff,subsidiary,The Home Depot,homedepot.com,https://www.linkedin.com/company/the-home-depot
ww_d7bc578046daf48ed2c1e6746ff68490,stable_large,Neosoft,neosoft.fr,https://www.linkedin.com/company/neosoft-
ww_d80190f31bf86f143dcd0ce9766990c6,subsidiary,Azerty de México,azerty.com.mx,https://www.linkedin.com/company/azerty-de-mexico
ww_d92dbeaf912a30561039420aa8560bc3,stable_large,Ismail Industries Limited,ismailindustries.com.pk,https://www.linkedin.com/company/ismailindustrieslimited
ww_da18bc4c4d886ea41fcaba372bdedade,subsidiary,AirFi,airfi.aero,https://www.linkedin.com/company/airfi
ww_da219be8afda052a8b51f31c438af377,subsidiary,SpacePharma,spacepharma.health,https://www.linkedin.com/company/spacepharma
ww_da660d361de5efcf46435c4327833251,long_tail,September Group LLC,septembergroupllc.com,https://www.linkedin.com/company/septembergroupllc
ww_dc0c5fdddb3a1f373a91da7ea6c2d732,long_tail,Noovo,noovolife.com,https://www.linkedin.com/company/noovovans
ww_dc0eed22bb626fd154463c19c7e0108b,stable_large,Lloydson,lloydson.com,https://www.linkedin.com/company/lloydson
ww_dfa93581b5c0c079a8b00d25161e1005,long_tail,Mobilite,mobilitepower.com,https://www.linkedin.com/company/mobilitepower
ww_dfd319c28b718755c6c7e700e21ce0f1,stable_large,Independent School District 196,district196.org,https://www.linkedin.com/company/district196
ww_e18231069588ddd3e35b0f36c4b16610,subsidiary,WhiskyInvestDirect,whiskyinvestdirect.com,https://www.linkedin.com/company/whiskyinvestdirect
ww_e2da886f376c017f6c0ab2bb73516dd8,long_tail,Seitz Industriebau GmbH & Co. KG,seitz-speicher.de,https://www.linkedin.com/company/seitz-industriebau
ww_e521943b58ff75715dd16dbb5e1e19fa,long_tail,Precision Fabricators,precision-fab.com,https://www.linkedin.com/company/precision-fabricators
ww_e552059ae74b3149786b486cd99144c6,subsidiary,DEV Capital,dev.capital,https://www.linkedin.com/company/devcapital
ww_e6c40156574939a44f787ba4cbb48ddb,long_tail,BigOmics Analytics,bigomics.ch,https://www.linkedin.com/company/bigomics-analytics
ww_e960e1cbb8fd54728026677aa7caf71c,long_tail,Action Utility Contractors Inc,actionutilitycontractors.com,https://www.linkedin.com/company/action-utility-contractors-inc
ww_eaa39182f0bc458b0e47b3fc3a08bb84,subsidiary,RETSCH,retsch.com,https://www.linkedin.com/company/retsch-gmbh
ww_eb98ec29ea29440204ac0412be1e2b1a,subsidiary,LinkLeads.vn,linkleads.vn,https://www.linkedin.com/company/linkleads-email-marketing
ww_ec0459b17645c8a95aab9faa6963918c,long_tail,Red Pepper Software,redpeppersoftware.com,https://www.linkedin.com/company/red-pepper-software
ww_ec1f2b4d9be6caf8a50533737cdda9f4,long_tail,Share Creators,sharecreators.com,https://www.linkedin.com/company/share-creators-inc
ww_ec487bdd221d18cee09a4091d097e7fe,long_tail,eAir LLC,eairllc.com,https://www.linkedin.com/company/eair-llc
ww_edf1893cb4803d1052ca4e5a70458ede,subsidiary,Cintra Payroll Services,cintrapayroll.co.uk,https://www.linkedin.com/company/trace-payroll-services-limited
ww_eef83da5f4bf1168b71baec76e8d17cb,stable_large,NJ TRANSIT,njtransit.com,https://www.linkedin.com/company/nj-transit
ww_efff4a474eca3081cb0831ece43b786a,long_tail,"ONG ""Pim Pam Pum""",pimpampum.fr,https://www.linkedin.com/company/ong-pim-pam-pum
ww_f04b823098403f7cb451732f35aab376,long_tail,Parma Trattoria & Mozzarella Bar,parmamozzarellabar.com,https://www.linkedin.com/company/parma-trattoria-&-mozzarella-bar
ww_f26214b3c2129316bfacb41b11f2a9a6,subsidiary,Tech Field Day,techfieldday.com,https://www.linkedin.com/company/tech-field-day
ww_f3bba9cfab80aea71926f5f5f5368ad4,stable_large,Style Textile,styletextile.com,https://www.linkedin.com/company/styletextile
ww_f3f169821867f3be0647ae198e0a304d,long_tail,Capstone Performance Training,capstoneperformancetraining.com,https://www.linkedin.com/company/capstoneperformancetraining
ww_f5720cd55ad50c8a41e270c1a250678e,long_tail,"Lightspeed Data Solutions, Inc.",lightspeedtdms.com,https://www.linkedin.com/company/lightspeed-data-solutions-inc.
ww_f5f3b8d720f34ebebceb7765e447268b,stable_large,"Orrick, Herrington & Sutcliffe LLP",orrick.com,https://www.linkedin.com/company/orrick
ww_f66920ce3326117a94d7225091a6af20,long_tail,Istituto Salesiano BVSL Bologna,salesianibologna.it,https://www.linkedin.com/company/istituto-salesiano-di-bologna
ww_f7104e89e89fc4b2922908a32e44ee60,subsidiary,Transworld Terminals Private Limited,transworld-terminals.com,https://www.linkedin.com/company/transworld-terminalsprivatelimited
ww_f80fc889c58f1719e12e34c62454221e,subsidiary,ORTHOSON Ltd,orthoson.com,https://www.linkedin.com/company/orthoson
ww_f9b554404f9d45536239799e23c7da8c,subsidiary,Neo Asset Management Pvt. Ltd.,neoassetmanagement.com,https://www.linkedin.com/company/neo-asset-mangagement
ww_fb580da97fdc843019c5d4609038612d,stable_large,SOS International,sos.eu,https://www.linkedin.com/company/sos-international
